"振込日","加盟店番号（V/M）","店舗番号（AKR）","店舗名","取引年月日","決済ブランド","決済ブランド（カード番号下４桁）","支払区分","金額（円）","税区分","備考"
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-12","Visa","4794","一括","17094","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-12","Visa","6972","一括","36124","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-12","Visa","7119","一括","17050","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-12","JCB","2473","一括","34512","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-12","JCB","3177","一括","21032","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-12","Mastercard(R)","1045","一括","19954","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-12","JCB","1075","一括","15235","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-12","JCB","1000","一括","32098","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-12","JCB","1012","一括","17754","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-12","Visa","4544","一括","16780","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-12","Visa","5152","一括","8415","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-12","American Express","4705","一括","24266","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-12","JCB","1089","一括","10450","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-12","Visa","8034","一括","14388","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-12","Visa","5274","一括","500","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-12","Visa","7365","一括","13519","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-12","Visa","4541","一括","500","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-12","Visa","5586","一括","500","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-11","PayPay","","一括","23430","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-11","PayPay","","一括","1200","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-11","PayPay","","一括","1000","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-11","PayPay","","一括","1000","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-11","PayPay","","一括","1000","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-11","PayPay","","一括","850","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-11","PayPay","","一括","850","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-11","PayPay","","一括","500","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-11","d払い","","一括","11264","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-11","d払い","","一括","14036","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-11","d払い","","一括","1000","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-11","交通系電子マネー","1659","","650","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-11","Mastercard(R)","2810","一括","9130","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-11","Mastercard(R)","7852","一括","8624","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-11","JCB","0415","一括","20130","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-11","American Express","3577","一括","22374","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-11","Visa","2701","一括","9768","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-10","PayPay","","一括","1000","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-10","PayPay","","一括","1150","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-10","PayPay","","一括","1000","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-10","PayPay","","一括","850","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-10","PayPay","","一括","950","課税",""
