"振込日","加盟店番号（V/M）","店舗番号（AKR）","店舗名","取引年月日","決済ブランド","決済ブランド（カード番号下４桁）","支払区分","金額（円）","税区分","備考"
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-10","PayPay","","一括","3289","課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-10","PayPay","","一括","1200","課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-10","PayPay","","一括","1200","課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-10","PayPay","","一括","1200","課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-10","PayPay","","一括","1200","課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-10","PayPay","","一括","1200","課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-10","PayPay","","一括","1200","課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-10","PayPay","","一括","2400","課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-10","QUICPay","3***","","1350","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-10","交通系電子マネー","3871","","1750","課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-10","American Express","1006","一括","22472","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-10","JCB","9479","一括","18612","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-10","Mastercard(R)","7006","一括","39000","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-10","Visa","5186","一括","11572","非課税",""
